coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Thu Jun 18 20:03:28 +0000 2020,,https://twitter.com/Stinkshovel/status/1273707925966643201/photo/1,,2,1273707925966643201,brooklynmutt,1273651411365048300,14987456,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@brooklynmutt @Acyn “If we stopped testing right now we’d have very few cases if any.” https://t.co/1q3rZUcTbI,https://twitter.com/Stinkshovel/status/1273707925966643201,Thu Oct 31 03:32:42 +0000 2013,Stinkshovel,false,When people use the word “libtard” an angel in heaven becomes a feminist. #BlueCollarAF #EssentialWorkingClassParty,80074,2677,5001,0,United States,Nate,Stinkshovel,65447,,,false
,Mon Jun 22 12:52:37 +0000 2020,DISCONNECTED,,https://www.vanityfair.com/news/2020/06/white-house-trump-was-just-joking-about-a-deadly-pandemic,0,1275049049599729664,,,,en,,false,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","↓
♦""if we stopped testing right now, we'd have very few cases, if any""♦

a very, very #DISCONNECTED @realDonaldTrump
https://t.co/TEuyCT9uxI",https://twitter.com/BarnumLives/status/1275049049599729664,Thu Jul 20 13:52:20 +0000 2017,BarnumLives,false,"♦'it is not the answer that enlightens, but the question.'♦—Eugène
lonesco",4524,128,353,0,,░▒@𝗕𝗮𝗿𝗻𝘂𝗺𝗟𝗶𝘃𝗲𝘀,BarnumLives,7210,,,false
,Sun Jun 28 16:41:46 +0000 2020,,,https://twitter.com/realDonaldTrump/status/1277219673315119106,0,1277281044547293186,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","“If we stopped testing right now, we’d have very few cases, if any.” 

You are the epitome of a low IQ person. 
No empathy.
Inability to have conversation.
Can’t tell the truth to save your life...

Don’t forget preying on children. https://t.co/aMMzxzUsC0",https://twitter.com/funkymunc/status/1277281044547293186,Fri Mar 09 22:35:33 +0000 2012,funkymunc,false,| INDifferent | me and my G-2,35536,1221,1290,1,"Arizona, USA",a munc,funkymunc,17744,,,false
,Mon Jun 29 23:24:22 +0000 2020,,,,0,1277744752092491776,GSgt0317,1277729487363494000,1038922144141533200,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@GSgt0317 @davidmweissman @Jim_Jordan Do you think that if we ""stopped testing right now we'd have very few cases, if any""?
do you think DC mayor Bowser ""wouldn't let the police get involved"" in protests outside the white house?
Do you think ""Twitter is stifling free speech""?",https://twitter.com/candiedhams/status/1277744752092491776,Mon Aug 17 17:19:05 +0000 2015,candiedhams,false,"climate change has an intersectional impact

public health is a public good",113729,509,4980,3,,Rich Patina,candiedhams,16735,,,false
,Thu Jun 25 12:12:32 +0000 2020,,,,0,1276126124649709568,FigTheWonderKid,1275967787308122000,1119041007692255200,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@gaynor_gregory @Wolfgirl_Rules @_ReaalAmerican_ @PressSec He stated that the soaring national count was simply the RESULT of HOW MUCH TESTING WAS BEING DONE NOW.

“If you don’t test, you don’t HAVE ANY CASES. If we STOPPED testing right now, we’d have very few cases, if any.”

So, he was NOT SAYING THEY SHOULD STOP TESTING.",https://twitter.com/veryangelic/status/1276126124649709568,Sat Jul 06 21:17:25 +0000 2013,veryangelic,false,Educator for over 30 yrs.,5407,88,89,2,,louise,veryangelic,12145,,,false
,Sun Jun 21 14:14:10 +0000 2020,,,https://www.axios.com/trump-coronavirus-testing-overrated-cf847872-20d0-48b1-95dd-34af301642c0.html https://www.poynter.org/fact-checking/2020/trump-falsely-claims-that-if-we-stopped-testing-right-now-wed-have-very-few-covid-19-cases/ https://twitter.com/IsaacDovere/status/1274544928962613249,696,1274707183763103744,,,,en,,false,320,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Not only is the ""joke"" tactic long-discredited, but look at what Trump said *before*:

""Trump calls coronavirus testing 'overrated,' says it 'makes us look bad'"" https://t.co/JTdgyiQpmE

""If we stopped testing right now, we’d have very few cases, if any."" https://t.co/G5vO8UvV51 https://t.co/Shz1WxWIuF",https://twitter.com/AndrewBatesNC/status/1274707183763103744,Mon May 23 15:32:05 +0000 2016,AndrewBatesNC,false,"Personal account. Work tweets: @AndrewJBates46. Before: @Transition46, @JoeBiden, @ObamaWhiteHouse, @HillaryClinton, @American_Bridge. Proud NCState alum.",27766,58093,2289,665,"Washington, DC",Andrew Bates,AndrewBatesNC,19168,,,true
,Tue Jun 23 10:59:12 +0000 2020,,,,0,1275382895717298177,OshotheGreat55,1275335485393719300,1037360968010014700,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@OshotheGreat55 @risitasfanclub @nypost Or when he tells stupid lies like... “If we stopped testing right now, we'd have very few cases, if any.”",https://twitter.com/CJ_Soldier05/status/1275382895717298177,Tue Mar 17 17:40:40 +0000 2020,CJ_Soldier05,false,"Proud Dad/Granddad, Proud US Army Veteran. Twitter is a Cesspool of Mis-information and Gullible Twits.

#BlackVotesMatter #BlackLivesMatter #AsianLivesMatter",7614,98,307,0,,CJ,CJ_Soldier05,12971,,,false
,Sun Jun 28 03:58:06 +0000 2020,,,https://www.politifact.com/factchecks/2020/jun/26/instagram-posts/face-mask-exempt-card-doesnt-exempt-you-wearing-ma/,0,1277088861412192257,,,,en,,false,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",A “face mask exempt card” allows you to cite the ADA and not wear a mask. https://t.co/oxzOaze3rF,https://twitter.com/WorksGrill/status/1277088861412192257,Fri Aug 30 03:33:51 +0000 2019,WorksGrill,false,"Covid Survivor, Musician, Proud Single Father, Bone Marrow Transplant Recipient #HuntsmanCancer #Resist No Lists!",30935,3013,3014,2,Boise ,The Cheesesteak Guy,WorksGrill,55935,,,false
,Sat Jun 20 14:23:11 +0000 2020,,,,0,1274347064445538305,mrjamesob,,152656121,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@mrjamesob “If we stopped testing right now, we'd have very few cases, if any.” Donald Trump",https://twitter.com/samvonspittling/status/1274347064445538305,Mon May 20 22:21:02 +0000 2013,samvonspittling,true,,1,1,13,0,,sam von spittling,samvonspittling,130,,,false
,Fri Jun 26 04:03:41 +0000 2020,,,,0,1276365489292353536,realDonaldTrump,1276363261957603300,25073877,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@realDonaldTrump “If you don’t test, you don’t have any cases,” “If we stopped testing right now, we’d have very few cases, if any.”",https://twitter.com/JTomsmyth95/status/1276365489292353536,Mon May 21 13:41:42 +0000 2012,JTomsmyth95,false,"Every accomplishment starts with the decision to try
-JFK",476,46,932,0,Northern ireland,Tom,JTomsmyth95,1616,,,false
,Thu Jun 18 14:36:24 +0000 2020,yallspresidentaintshit trumisadumbass,,,0,1273625615858577409,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""If we stopped testing right now, we'd have very few cases, if any.""
Donald J. Trump
Do ya'll remember when George W. Bush was the dumbest president we ever had? 
#yallspresidentaintshit #trumisadumbass",https://twitter.com/Kickinnstreamin/status/1273625615858577409,Fri Jan 25 03:48:18 +0000 2019,Kickinnstreamin,false,"Your guide to streaming movies, TV series, & stuff https://t.co/UVZ8tZAPRy",289,134,262,1,United States,Kickin' & Streamin' Podcast,Kickinnstreamin,2072,,https://bit.ly/2S6tXD8,false
,Tue Jun 23 23:43:48 +0000 2020,,,https://www.politifact.com/factchecks/2020/jun/23/donald-trump/trump-wrongly-claims-biden-wants-prosecute-churchg/,4,1275575312894636034,,,,en,,false,3,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","“Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.”
- @RealDonaldTrump
https://t.co/upoiFgX60r",https://twitter.com/liewbob/status/1275575312894636034,Tue Sep 30 20:13:29 +0000 2008,liewbob,false,"#IWillNotBendTheKneeI Love to Laugh! Optimistic, Liberal, Pragmatic, Secular Humanist #Resist!  Won't buy followers! Misspellings = bad keyboarding We/Us 🌊🌊",149508,20925,22863,167,"Piscataway, NJ",Bob Weil,liewbob,129030,,https://www.facebook.com/liewbob,false
,Sun Jun 21 01:15:23 +0000 2020,,https://twitter.com/AmericaFirstPAC/status/1274511197170208769/video/1,,44,1274511197170208769,,,,en,,false,22,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","""Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church."" https://t.co/fIpPMhyvrV",https://twitter.com/AmericaFirstPAC/status/1274511197170208769,Thu Aug 17 16:23:07 +0000 2017,AmericaFirstPAC,false,America First Action is dedicated to supporting President Trump | We are the only Official Pro-Trump Super PAC | READ: https://t.co/hkT4YrNEIB,4048,33134,299,231,USA,America First,AmericaFirstPAC,13694,,http://a1apac.org,true
,Sat Jun 20 18:01:32 +0000 2020,,,,3,1274402017285267457,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I’m not gonna claim to be a stable genius or anything - BUT - I mean, I did just discover the cure for cancer. Stop testing for it. Simple as that. “If we stopped testing right now, we’d have very few cases, if any.”",https://twitter.com/tony_ragusa/status/1274402017285267457,Tue Aug 09 04:23:20 +0000 2011,tony_ragusa,false,I don't take myself too seriously. You shouldn't either. Lighten up. Laugh. Have fun. #Resist #FBR #PRU,19727,3147,4059,4,"Illinois, USA",Tony Ragusa,tony_ragusa,3038,,,false
,Wed Jul 01 07:49:27 +0000 2020,,,,1,1278234248433078273,MiddleMolly,1277970191549206500,244813279,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@MiddleMolly @juantinabroad @newsjunky2 @mgs_life @like_argue @ArthurSchwartz @JoeBiden that's not fair, he only said name ONE.

let's start with something from this year so he doesn't have to go back too far.
how about “Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.”",https://twitter.com/mike_thefourth/status/1278234248433078273,Thu Mar 05 18:37:07 +0000 2020,mike_thefourth,false,"I'm going to try to be a little more optimistic. But don't get your hopes up.


Novus ordo seclorum",1631,368,364,0,"Unfortunate, Alabama",Just another guy named Mike🥽🏳️‍🌈,mike_thefourth,9081,,,false
,Fri Jun 26 18:36:46 +0000 2020,,,,0,1276585208934879233,Jaleaha18,1276584137726419000,827732833087131600,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@realDonaldTrump Something you said that was painfully stupid, and I quote 
“If we stopped testing right now, we’d have very few cases, if any.”
Does not sound very smart to me",https://twitter.com/Jaleaha18/status/1276585208934879233,Sat Feb 04 04:17:40 +0000 2017,Jaleaha18,false,always interested in what is going on in the world. Dislike #donaldtrump #GQP #resistance 🌈 🌊 🇩🇪,11567,218,249,0,"Colorado, USA",Rossi,Jaleaha18,7187,,,false
,Tue Jun 23 14:29:04 +0000 2020,,,https://www.politifact.com/factchecks/2020/jun/17/donald-trump/trumps-take-covid-testing-gives-short-shrift-publi/,1,1275435711714320384,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Via @PolitiFact | Fact-checking ⁦⁦@realDonaldTrump⁩’s claim: “If we stopped testing right now, we'd have very few cases, if any.” https://t.co/RRgeCvWDvs",https://twitter.com/Ry_Bass/status/1275435711714320384,Sat Feb 21 19:58:18 +0000 2009,Ry_Bass,false,"@UCFKnights alum⚔️ News anchor, @10TampaBay & Co-host of The Quad with @ChrisYoungMusic 🎧 Raised in the 305 🌴 Previous: @cbssports @247sports @BN9",3127,7838,4312,201,Downtown St Pete 📍,Ryan Bass,Ry_Bass,150696,,https://youtu.be/kxq8uVct7Dk,true
,Tue Jun 23 22:12:30 +0000 2020,,,https://www.factstream.co/factcheck/0c5a5c23-ab40-4009-8aa4-0a065f03cf81,0,1275552336195121153,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","⁦@realDonaldTrump⁩ You lie! Everything you say is a lie!!
Trump: “Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.” Rated False by PolitiFact – Via FactStream https://t.co/uOvDtAMcq1",https://twitter.com/Lou_B/status/1275552336195121153,Mon Dec 29 18:34:54 +0000 2008,Lou_B,false,"Nothing much....just Liberal, a Veteran & a Wino!",36829,143,506,0,"Los Angeles, CA",Lou Balicki,Lou_B,19929,,,false
,Sat Jun 20 11:25:06 +0000 2020,,https://twitter.com/Dr_Nyachie/status/1274302248726781952/photo/1,,8,1274302248726781952,,,,en,,false,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","“If we stopped testing right now, we’d have very few cases, if any.” Donald Trump

Africa is not alone in having dumb leaders.🤣 https://t.co/j5V4KfHeed",https://twitter.com/Dr_Nyachie/status/1274302248726781952,Fri Jul 06 05:23:54 +0000 2018,Dr_Nyachie,false,Ingagara||#GymAddict||PhD. in Electrical engineering|| ML in Optical fibre network researcher||Coding| StAnDTaLL||#Bulawayo||#Nyanga||#JesusLifeInMe||notshort,18214,4136,4022,1,"Nairobi, Kenya",uKumbie 🥸,Dr_Nyachie,15934,,,false
,Thu Jun 18 19:49:44 +0000 2020,,,,1,1273704469901926400,peaceouth0es,1273704366919184400,1050143480079560700,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","“If we stopped testing right now, we'd have very few cases, if any.”-stated on June 15, 2020 in remarks during a roundtable discussion

testing doesn’t create instances of the virus — it is just a way of showing and tracking them",https://twitter.com/peaceouth0es/status/1273704469901926400,Wed Oct 10 21:58:11 +0000 2018,peaceouth0es,false,she/her,14094,43,149,0,hell,abby🌿,peaceouth0es,500,,,false
,Sun Jun 21 03:17:03 +0000 2020,,https://twitter.com/Stinkshovel/status/1274541816289923076/photo/1,,3,1274541816289923076,BettyBowers,1274541202440949800,46775436,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@BettyBowers “If we stopped testing right now we’d have very few cases if any.” https://t.co/4UO9DLe5s8,https://twitter.com/Stinkshovel/status/1274541816289923076,Thu Oct 31 03:32:42 +0000 2013,Stinkshovel,false,When people use the word “libtard” an angel in heaven becomes a feminist. #BlueCollarAF #EssentialWorkingClassParty,80074,2677,5001,0,United States,Nate,Stinkshovel,65447,,,false
,Sat Jun 20 13:17:00 +0000 2020,covid19 pandemic USA,,,4,1274330410483200000,,,,en,,,1,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",“If we stopped testing right now we’d have very few cases if any.” The President of the United States said this. Out loud. In front of other people. Nobody laughed. Or snortled. Or projectile vomited. He IS @POTUS after all. #covid19 #pandemic #USA,https://twitter.com/MediaActive/status/1274330410483200000,Fri Apr 17 07:32:00 +0000 2009,MediaActive,false,Former ABC broadcast journalist. Pioneered Australian *national* radio talkback. Podcaster @transitzonepod JOURNALISM FUTURES/INTERVIEWING/WILDLIFE PHOTOGRAPHY.,299,3018,3366,270,Melbourne,Peter Clarke,MediaActive,55454,,,false
,Thu Jun 18 19:34:31 +0000 2020,,,,0,1273700640934506498,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","If we stopped testing right now we’d have very few cases, if any 🤯",https://twitter.com/ErickDelRiver/status/1273700640934506498,Sun Jul 22 23:19:22 +0000 2012,ErickDelRiver,false,"Montse 💚 pumping iron, and the old school",12229,1186,1264,2,"Houston, TX ",Erick Del River,ErickDelRiver,17765,,,false
